放送局,放送日,ホームチーム,アウェイチーム
J SPORTS 4,2026/09/29,東京グレートベアーズ,ジェイテクトSTINGS愛知
GAORA SPORTS,2026/10/17,大阪マーヴェラス,岡山シーガルズ
J SPORTS 2,2026/10/17,NECレッドロケッツ川崎,ヴィクトリーナ姫路
GAORA SPORTS,2026/10/18,大阪マーヴェラス,岡山シーガルズ
J SPORTS 1,2026/10/18,NECレッドロケッツ川崎,ヴィクトリーナ姫路
NHK BS,2026/10/23,デンソーエアリービーズ,SAGA久光スプリングス
GAORA SPORTS,2026/10/24,ヴィクトリーナ姫路,PFUブルーキャッツ石川かほく
J SPORTS 2,2026/10/24,ウルフドッグス名古屋,東京グレートベアーズ
フジテレビNEXT,2026/10/24,北海道イエロースターズ,大阪ブルテオン
GAORA SPORTS,2026/10/25,ヴィクトリーナ姫路,PFUブルーキャッツ石川かほく
J SPORTS 2,2026/10/25,ウルフドッグス名古屋,東京グレートベアーズ
フジテレビNEXT,2026/10/25,北海道イエロースターズ,大阪ブルテオン
J SPORTS 4,2026/10/31,フラーゴラッド鹿児島,北海道イエロースターズ
フジテレビNEXT,2026/10/31,大阪ブルテオン,ウルフドッグス名古屋
GAORA SPORTS,2026/11/01,東レアローズ滋賀,デンソーエアリービーズ
J SPORTS 2,2026/11/01,フラーゴラッド鹿児島,北海道イエロースターズ
NHK BS,2026/11/01,大阪ブルテオン,ウルフドッグス名古屋
フジテレビNEXT,2026/11/01,大阪ブルテオン,ウルフドッグス名古屋
GAORA SPORTS,2026/11/07,大阪マーヴェラス,SAGA久光スプリングス
GAORA SPORTS,2026/11/08,大阪マーヴェラス,SAGA久光スプリングス
GAORA SPORTS,2026/11/14,ヴィクトリーナ姫路,東レアローズ滋賀
GAORA SPORTS,2026/11/26,日本製鉄堺ブレイザーズ,東京グレートベアーズ
GAORA SPORTS,2026/11/27,日本製鉄堺ブレイザーズ,東京グレートベアーズ
